isoweek,city_wide_data_week_ending,city_wide_index,man_index,bk_index,qn_index
17,2020-04-26,20.96069868995633,15.584415584415584,26.277372262773724,16.176470588235293
18,2020-05-03,18.336886993603414,14.611087236785561,20.8955223880597,23.5910878112713
19,2020-05-10,16.488222698072803,13.839285714285715,19.327129563350038,19.305019305019304
20,2020-05-17,22.919818455149787,21.951219512195124,23.014105419450633,20.51282051282051
21,2020-05-24,24.15153907057234,20.689655172413794,31.67062549485352,21.03786816269285
22,2020-05-31,22.312045272620214,22.64539372104992,26.463512429831592,12.622720897615707
23,2020-06-07,33.519553069950554,26.845637583892618,42.21028396009209,28.649386084583906
24,2020-06-14,33.957845433255265,23.3502538071066,41.315990818668716,38.961038961038966
25,2020-06-21,40.47442549737031,37.01899659035558,48.675733715103796,34.5679012345679
26,2020-06-28,40.125885126662006,33.38632750397457,44.776119402985074,42.06241519674355
