as_of_date,patients_currently_in_icu,patients_currently_icu_intubated
2022-03-15,70.85714285714286,43.42857142857143
2022-03-14,75.85714285714286,45
2022-03-13,80.85714285714286,47.142857142857146
2022-03-12,86.14285714285714,50.285714285714285
2022-03-11,92.42857142857143,53.142857142857146
2022-03-10,97.85714285714286,54.857142857142854
2022-03-09,102,55.714285714285715
2022-03-08,108.42857142857143,57.714285714285715
2022-03-07,114.14285714285714,60.714285714285715
2022-03-06,118.28571428571429,63.285714285714285
2022-03-05,123,66
2022-03-04,128,69.85714285714286
2022-03-03,131.57142857142858,71.71428571428571
2022-03-02,136.14285714285714,74.42857142857143
2022-03-01,137.71428571428572,76.28571428571429
2022-02-28,140.57142857142858,78.28571428571429
2022-02-27,146.71428571428572,81.57142857142857
2022-02-26,151.57142857142858,83.42857142857143
2022-02-25,155.57142857142858,84.71428571428571
2022-02-24,162.71428571428572,88.57142857142857
2022-02-23,171.85714285714286,95.28571428571429
2022-02-22,181,103
2022-02-21,189.42857142857142,109
2022-02-20,200.28571428571428,115.57142857142857
2022-02-19,212.57142857142858,123.71428571428571
2022-02-18,225.42857142857142,133.57142857142858
2022-02-17,239.42857142857142,144.42857142857142
2022-02-16,252.71428571428572,153.57142857142858
2022-02-15,268.14285714285717,161.57142857142858
2022-02-14,285.14285714285717,170.42857142857142
2022-02-13,298.7142857142857,177.57142857142858
2022-02-12,316,186.14285714285714
2022-02-11,333.42857142857144,195.85714285714286
2022-02-10,351.57142857142856,204
2022-02-09,371.14285714285717,211.85714285714286
2022-02-08,392.14285714285717,222.57142857142858
2022-02-07,415.57142857142856,238.28571428571428
2022-02-06,439,254.85714285714286
2022-02-05,461,271
2022-02-04,482.85714285714283,284
2022-02-03,500.7142857142857,296.7142857142857
2022-02-02,521.1428571428571,311.14285714285717
2022-02-01,544.7142857142857,325.57142857142856
2022-01-31,564.4285714285714,335.85714285714283
2022-01-30,591.7142857142857,345.14285714285717
2022-01-29,619,355.57142857142856
2022-01-28,644.2857142857143,365.57142857142856
2022-01-27,670.2857142857143,378
2022-01-26,695.7142857142857,388.14285714285717
2022-01-25,715.5714285714286,395.42857142857144
2022-01-24,737.8571428571429,401.85714285714283
2022-01-23,746.4285714285714,405.85714285714283
2022-01-22,752.4285714285714,407
2022-01-21,760.2857142857143,410
2022-01-20,768.8571428571429,410.14285714285717
2022-01-19,773.2857142857143,409.14285714285717
2022-01-18,776.8571428571429,407
2022-01-17,771.8571428571429,404
2022-01-16,772.7142857142857,401.14285714285717
2022-01-15,769.8571428571429,396.85714285714283
2022-01-14,766.5714285714286,388.14285714285717
2022-01-13,757.2857142857143,375
2022-01-12,741.1428571428571,360.7142857142857
2022-01-11,723.4285714285714,345.7142857142857
2022-01-10,705.2857142857143,327.57142857142856
2022-01-09,681,307.7142857142857
2022-01-08,651.8571428571429,287.42857142857144
2022-01-07,617.5714285714286,268.42857142857144
2022-01-06,584.2857142857143,252.14285714285714
2022-01-05,552.4285714285714,233.85714285714286
2022-01-04,517,217.28571428571428
