date,subways_total_estimated,subways_of_comparable_pre,buses_total_estimated,buses_of_comparable_pre,lirr_total_estimated_ridership,lirr_of_2019_monthly_weekday,metro_north_total_estimated,metro_north_of_2019_monthly,access_a_ride_total_scheduled,access_a_ride_of_comprable,bridges_and_tunnels_total,bridges_and_tunnels_of
2021-10-21,2800273.5714285714,0.5661428571428572,1283805.7142857143,0.6445714285714287,131614.2857142857,0.5942857142857143,112157.14285714286,0.5842857142857143,20351.428571428572,0.7507142857142858,919020.2857142857,0.9927142857142857
2021-10-20,2796398.8571428573,0.5660000000000001,1291107,0.6502857142857144,132285.7142857143,0.5971428571428572,112085.71428571429,0.5842857142857143,20371,0.7538571428571429,919623.7142857143,0.9955714285714284
2021-10-19,2785424.5714285714,0.566857142857143,1289071,0.6578571428571429,131728.57142857142,0.5957142857142858,111185.71428571429,0.58,20359.85714285714,0.7591428571428571,918393.1428571428,0.9997142857142857
2021-10-18,2774669.285714286,0.5640000000000001,1289626.142857143,0.6545714285714287,131900,0.5971428571428572,110928.57142857143,0.5785714285714285,20423.428571428572,0.7601428571428571,920000.2857142857,0.995142857142857
2021-10-17,2671498.5714285714,0.5647142857142857,1230200.7142857143,0.6548571428571429,128757.14285714286,0.5857142857142857,109085.71428571429,0.5714285714285714,19775.285714285714,0.7755714285714286,918349.8571428572,0.9967142857142857
2021-10-16,2652599.5714285714,0.5495714285714286,1221326,0.6377142857142858,127442.85714285714,0.5714285714285714,107557.14285714286,0.5514285714285714,19665.285714285714,0.7704285714285715,906135.2857142857,0.9725714285714285
2021-10-15,2653792.4285714286,0.5524285714285715,1221228.5714285714,0.637857142857143,127614.28571428571,0.5728571428571428,108571.42857142857,0.5614285714285714,19712,0.7741428571428571,909419.8571428572,0.9781428571428571
2021-10-14,2645403.714285714,0.5527142857142857,1218773.2857142857,0.6368571428571429,128028.57142857143,0.5742857142857143,108414.28571428571,0.5614285714285714,19727,0.7757142857142857,910887,0.979142857142857
2021-10-13,2638257,0.552,1218148.2857142857,0.6342857142857143,127385.71428571429,0.5714285714285714,107642.85714285714,0.5585714285714286,19788,0.7772857142857144,910649.2857142857,0.9785714285714285
2021-10-12,2635871.714285714,0.5502857142857144,1221192.857142857,0.6264285714285716,127142.85714285714,0.5700000000000001,107400,0.5585714285714286,19828.285714285714,0.7788571428571429,911558,0.977
2021-10-11,2634159.714285714,0.552,1219072.7142857143,0.6272857142857143,126514.28571428571,0.5671428571428572,106900,0.5571428571428572,19799.14285714286,0.7775714285714286,908199.4285714285,0.979
2021-10-10,2720365.714285714,0.5477142857142858,1272399.857142857,0.6221428571428572,129500,0.5785714285714286,107871.42857142857,0.5614285714285714,20495.85714285714,0.7574285714285715,907271.1428571428,0.9697142857142856
2021-10-09,2731521.5714285714,0.5565714285714286,1282604.4285714286,0.6318571428571429,130828.57142857143,0.5928571428571429,108985.71428571429,0.5757142857142857,20659,0.7622857142857143,918916.1428571428,0.9868571428571428
2021-10-08,2733446.714285714,0.5552857142857144,1286546.4285714286,0.6328571428571429,131114.2857142857,0.5957142857142858,108828.57142857143,0.5742857142857143,20732,0.765,919497.7142857143,0.9881428571428571
