region,date,isoweek,total_claims,date_2019,total_claims_2019,rolling_avg_claims,pct_change_19_now,Unemployment Claims Index Original,Unemployment Claims Index
New York City,2021-07-10,27,15350,2019-07-06,9650,8993.333333,0.7068198666310903,58.58849076872965,58.58849076872965
New York City,2021-07-03,26,10570,2019-06-29,6040,6933.333333,0.524519230842525,65.59444969725638,65.59444969725638
New York City,2021-06-26,25,8740,2019-06-22,5110,5626.666667,0.5533175354530024,64.37833715102975,64.37833715102975
New York City,2021-06-19,24,7940,2019-06-15,5730,5570,0.4254937163375224,70.15113350125945,70.15113350125945
New York City,2021-06-12,23,8320,2019-06-08,5870,5620,0.4804270462633452,67.54807692307693,67.54807692307693
New York City,2021-06-05,22,7680,2019-06-01,5260,5473.333333,0.4031668697565876,71.26736110677082,71.26736110677082
New York City,2021-05-29,21,8260,2019-05-25,5290,5206.666667,0.5864276567486281,63.034705411622284,63.034705411622284
New York City,2021-05-22,20,8460,2019-05-18,5070,5243.333333,0.6134774317618232,61.97793537825059,61.97793537825059
New York City,2021-05-15,19,9230,2019-05-11,5370,8023.333333,0.15039468222477756,86.92668833152763,86.92668833152763
New York City,2021-05-08,18,10770,2019-05-04,13630,8546.666667,0.2601404055670773,79.35623646239553,79.35623646239553
New York City,2021-05-01,17,12940,2019-04-27,6640,8516.666667,0.5193737768485569,65.81658938948995,65.81658938948995
New York City,2021-04-24,16,18050,2019-04-20,5280,5673.333333,2.1815511165206556,31.43120960110803,31.43120960110803
New York City,2021-04-17,15,18100,2019-04-13,5100,5220,2.467432950191571,28.839779005524864,28.839779005524864
New York City,2021-04-10,14,26480,2019-04-06,5280,5206.666667,4.08578745165904,19.66263847054381,19.66263847054381
New York City,2021-04-03,13,18270,2019-03-30,5240,5240,2.486641221374046,28.680897646414888,28.680897646414888
New York City,2021-03-27,12,16900,2019-03-23,5200,5220,2.2375478927203063,30.887573964497044,30.887573964497044
New York City,2021-03-20,11,15600,2019-03-16,5220,5266.666667,1.9620253162682257,33.76068376282052,33.76068376282052
